Bus_line
Moneeb / Nasr City
Giza / Tahrir
October / Ramses
Moneeb / Nasr City
Haram / Downtown
Haram / Downtown
Haram / Downtown
Moneeb / Nasr City
Moneeb / Nasr City
Haram / Downtown
Haram / Downtown
Haram / Downtown
Moneeb / Nasr City
October / Ramses
Talbeya  / Sayeda Zeinab
October / Ramses
Faisal  / Opera
October / Ramses
Remaya Square  / Kasr El Ainy
Haram / Downtown
Haram / Downtown
Moneeb / Nasr City
Haram / Downtown
Haram / Downtown
Haram / Downtown
Haram / Downtown
Moneeb / Nasr City
Moneeb / Nasr City
Haram / Downtown
Moneeb / Nasr City
Haram / Downtown
Haram / Downtown
Haram / Downtown
Haram / Downtown
Haram / Downtown
Moneeb / Nasr City
Moneeb / Nasr City
Moneeb / Nasr City
October / Ramses
Moneeb / Nasr City
October / Ramses
Haram / Downtown
October / Ramses
Haram / Downtown
Giza / Tahrir
Haram / Downtown
Faisal  / Opera
Moneeb / Nasr City
Haram / Downtown
October / Ramses
Haram / Downtown
Moneeb / Nasr City
Moneeb / Nasr City
October / Ramses
Haram / Downtown
Giza / Tahrir
Haram / Downtown
Faisal  / Opera
Haram / Downtown
Moneeb / Nasr City
Haram / Downtown
October / Ramses
Moneeb / Nasr City
Haram / Downtown
